Date,Description,Amount,Type,Category,Subcategory,Producer/Vendor,Payment Method,Notes
2025-02-26 11:46:14.270772,Dividend Payment,2579.222669342749,Income,Income,Freelance,Client,Bank Transfer,
2025-01-21 11:46:14.270772,Lunch,31.153993877632484,Expense,Miscellaneous,Groceries,Grocery Store,Cash,
2025-02-06 11:46:14.270772,Stock Purchase,1702.4854953852405,Expense,Investments,Stocks,Brokerage,Cash,
2025-02-25 11:46:14.270772,Client Payment,4018.7069891200813,Income,Income,Salary,Client,Credit Card,
2025-02-25 11:46:14.270772,Online Purchase,304.95067405418916,Expense,Miscellaneous,Electronics,Walmart,Bank Transfer,
2025-04-16 11:46:14.270772,Transfer to Savings,663.2644055335661,Expense,Savings,Emergency Fund,Bank,Bank Transfer,
2025-04-04 11:46:14.270772,Gas Refill,65.40657595001355,Expense,Transportation,Public Transit,Gas Station,Credit Card,
2025-01-28 11:46:14.270772,Electronics,108.5109042480643,Expense,Shopping,Clothing,Target,Debit Card,
2025-04-19 11:46:14.270772,Online Purchase,264.1130964287345,Expense,Miscellaneous,Electronics,Amazon,Cash,
2025-03-17 11:46:14.270772,Uber Ride,192.52156383202995,Expense,Transportation,Gas,Gas Station,Credit Card,
2025-01-27 11:46:14.270772,Dividend Payment,2328.3294185572267,Income,Income,Salary,Dividend,Debit Card,
2025-04-18 11:46:14.270772,Clothing,353.34807997758134,Expense,Shopping,Clothing,Amazon,Bank Transfer,
2025-02-19 11:46:14.270772,Dinner Out,122.02359478133353,Expense,Miscellaneous,Restaurants,Cafe,Credit Card,
2025-03-21 11:46:14.270772,Transfer to Savings,651.6298381932502,Expense,Savings,Emergency Fund,Bank,Cash,
2025-04-06 11:46:14.270772,Transfer to Savings,476.8261309489002,Expense,Savings,Emergency Fund,Bank,Cash,
2025-04-03 11:46:14.270772,Gas Refill,67.31707286778845,Expense,Transportation,Gas,Transit Authority,Bank Transfer,
2025-03-08 11:46:14.270772,Clothing,200.90119432368974,Expense,Shopping,Electronics,Amazon,Debit Card,
2025-02-17 11:46:14.270772,Dividend Payment,3664.786907241488,Income,Income,Investments,Employer,Credit Card,
2025-04-13 11:46:14.270772,Clothing,342.84272217421756,Expense,Shopping,Clothing,Amazon,Bank Transfer,
2025-02-24 11:46:14.270772,Dividend Payment,4784.758365041873,Income,Income,Salary,Employer,Credit Card,
2025-03-15 11:46:14.270772,Stock Purchase,1743.6819159480142,Expense,Investments,Stocks,Brokerage,Debit Card,
2025-04-17 11:46:14.270772,Online Purchase,400.67414546952153,Expense,Miscellaneous,Clothing,Amazon,Debit Card,
2025-04-13 11:46:14.270772,Stock Purchase,1694.3798426944127,Expense,Investments,Stocks,Brokerage,Debit Card,
2025-04-03 11:46:14.270772,Stock Purchase,881.0267596026418,Expense,Investments,Stocks,Brokerage,Credit Card,
2025-02-02 11:46:14.270772,Transfer to Savings,910.7214180406673,Expense,Savings,Emergency Fund,Bank,Credit Card,
2025-02-06 11:46:14.270772,Electricity Bill,1785.3921867506144,Expense,Housing,Rent/Mortgage,Water Company,Credit Card,
